time,x,y,z,ψ,θ,φ
0.0,0.0,0.0,25.5,0.0,0.0,0.0
0.05,0.0,0.0,25.5,0.0,0.3333333333333333,0.0
0.1,0.0,0.0,25.5,0.0,0.6666666666666666,0.0
0.15000000000000002,0.0,0.0,25.5,0.0,1.0,0.0
0.2,0.0,0.0,25.5,0.0,1.3333333333333333,0.0
0.25,0.0,0.0,25.5,0.0,1.6666666666666665,0.0
0.30000000000000004,0.0,0.0,25.5,0.0,2.0,0.0
0.35000000000000003,0.0,0.0,25.5,0.0,2.333333333333333,0.0
0.4,0.0,0.0,25.5,0.0,2.6666666666666665,0.0
0.45,0.0,0.0,25.5,0.0,3.0,0.0
0.5,0.0,0.0,25.5,0.0,3.333333333333333,0.0
0.55,0.0,0.0,25.5,0.0,3.6666666666666665,0.0
0.6000000000000001,0.0,0.0,25.5,0.0,4.0,0.0
0.65,0.0,0.0,25.5,0.0,4.333333333333333,0.0
0.7000000000000001,0.0,0.0,25.5,0.0,4.666666666666666,0.0
0.75,0.0,0.0,25.5,0.0,5.0,0.0
0.8,0.0,0.0,25.5,0.0,5.333333333333333,0.0
0.8500000000000001,0.0,0.0,25.5,0.0,5.666666666666666,0.0
0.9,0.0,0.0,25.5,0.0,6.0,0.0
0.9500000000000001,0.0,0.0,25.5,0.0,6.333333333333333,0.0
1.0,0.0,0.0,25.5,0.0,6.666666666666666,0.0
1.05,0.0,0.0,25.5,0.0,7.0,0.0
1.1,0.0,0.0,25.5,0.0,7.333333333333333,0.0
1.1500000000000001,0.0,0.0,25.5,0.0,7.666666666666666,0.0
1.2000000000000002,0.0,0.0,25.5,0.0,8.0,0.0
1.25,0.0,0.0,25.5,0.0,8.333333333333332,0.0
1.3,0.0,0.0,25.5,0.0,8.666666666666666,0.0
1.35,0.0,0.0,25.5,0.0,9.0,0.0
1.4000000000000001,0.0,0.0,25.5,0.0,9.333333333333332,0.0
1.4500000000000002,0.0,0.0,25.5,0.0,9.666666666666666,0.0
1.5,0.0,0.0,25.5,0.0,10.0,0.0
1.55,0.0,0.0,25.5,0.0,10.333333333333332,0.0
1.6,0.0,0.0,25.5,0.0,10.666666666666666,0.0
1.6500000000000001,0.0,0.0,25.5,0.0,11.0,0.0
1.7000000000000002,0.0,0.0,25.5,0.0,11.333333333333332,0.0
1.75,0.0,0.0,25.5,0.0,11.666666666666666,0.0
1.8,0.0,0.0,25.5,0.0,12.0,0.0
1.85,0.0,0.0,25.5,0.0,12.333333333333332,0.0
1.9000000000000001,0.0,0.0,25.5,0.0,12.666666666666666,0.0
1.9500000000000002,0.0,0.0,25.5,0.0,13.0,0.0
2.0,0.0,0.0,25.5,0.0,13.333333333333332,0.0
2.0500000000000003,0.0,0.0,25.5,0.0,13.666666666666666,0.0
2.1,0.0,0.0,25.5,0.0,14.0,0.0
2.15,0.0,0.0,25.5,0.0,14.333333333333332,0.0
2.2,0.0,0.0,25.5,0.0,14.666666666666666,0.0
2.25,0.0,0.0,25.5,0.0,15.0,0.0
2.3000000000000003,0.0,0.0,25.5,0.0,15.333333333333332,0.0
2.35,0.0,0.0,25.5,0.0,15.666666666666666,0.0
2.4000000000000004,0.0,0.0,25.5,0.0,16.0,0.0
2.45,0.0,0.0,25.5,0.0,16.333333333333332,0.0
2.5,0.0,0.0,25.5,0.0,16.666666666666664,0.0
2.5500000000000003,0.0,0.0,25.5,0.0,17.0,0.0
2.6,0.0,0.0,25.5,0.0,17.333333333333332,0.0
2.6500000000000004,0.0,0.0,25.5,0.0,17.666666666666664,0.0
2.7,0.0,0.0,25.5,0.0,18.0,0.0
2.75,0.0,0.0,25.5,0.0,18.333333333333332,0.0
2.8000000000000003,0.0,0.0,25.5,0.0,18.666666666666664,0.0
2.85,0.0,0.0,25.5,0.0,19.0,0.0
2.9000000000000004,0.0,0.0,25.5,0.0,19.333333333333332,0.0
2.95,0.0,0.0,25.5,0.0,19.666666666666664,0.0
3.0,0.0,0.0,25.5,0.0,20.0,0.0
